transaction_id,customer_id,product_id,product_name,category,price,quantity,total_amount,timestamp,region,payment_method
TXN_000001,CUST_2824,PROD_251,Bluetooth Speaker,Computing,193.52,3,580.5600000000001,2024-08-17 08:02:00,North America,debit_card
TXN_000002,CUST_1409,PROD_611,Smart Watch,Mobile,475.85,4,1903.4,2024-08-14 17:57:00,Africa,apple_pay
TXN_000003,CUST_5506,PROD_985,Bluetooth Speaker,Audio,368.68,4,1474.72,2024-12-13 17:43:00,Africa,google_pay
TXN_000004,CUST_5012,PROD_424,Phone Case,Electronics,303.34,2,606.68,2024-12-21 13:36:00,Africa,apple_pay
TXN_000005,CUST_4657,PROD_216,Phone Case,Electronics,86.45,1,86.45,2024-09-18 23:53:00,South America,debit_card
TXN_000006,CUST_3286,PROD_911,Gaming Mouse,Electronics,86.44,4,345.76,2024-12-22 11:34:00,Europe,credit_card
TXN_000007,CUST_2679,PROD_790,Keyboard,Accessories,38.46,2,76.92,2024-06-10 14:17:00,North America,paypal
TXN_000008,CUST_9935,PROD_516,Tablet,Mobile,434.43,3,1303.29,2024-11-13 02:48:00,North America,google_pay
TXN_000009,CUST_2424,PROD_369,Wireless Headphones,Computing,304.55,3,913.6500000000001,2024-02-14 01:25:00,North America,paypal
TXN_000010,CUST_7912,PROD_633,Laptop,Audio,356.96,3,1070.8799999999999,2024-11-26 13:29:00,Asia,paypal
TXN_000011,CUST_1520,PROD_839,Gaming Mouse,Electronics,20.09,3,60.269999999999996,2024-11-24 04:27:00,Europe,credit_card
TXN_000012,CUST_1488,PROD_103,Phone Case,Computing,485.26,2,970.52,2024-05-28 02:32:00,Africa,google_pay
TXN_000013,CUST_2535,PROD_561,Laptop,Audio,417.9,1,417.9,2024-08-17 19:15:00,Europe,paypal
TXN_000014,CUST_4582,PROD_952,Laptop,Audio,114.05,2,228.1,2024-11-30 18:28:00,South America,apple_pay
TXN_000015,CUST_4811,PROD_977,Phone Case,Computing,99.09,1,99.09,2024-10-02 19:57:00,North America,google_pay
TXN_000016,CUST_9279,PROD_228,Laptop,Audio,99.87,3,299.61,2024-06-11 06:29:00,Africa,apple_pay
TXN_000017,CUST_1434,PROD_749,Smart Watch,Audio,159.08,4,636.32,2024-08-30 01:04:00,Africa,paypal
TXN_000018,CUST_4257,PROD_560,Phone Case,Computing,267.13,4,1068.52,2024-03-22 08:36:00,Europe,credit_card
TXN_000019,CUST_9928,PROD_754,Keyboard,Electronics,221.65,4,886.6,2024-04-18 03:27:00,North America,apple_pay
TXN_000020,CUST_7873,PROD_692,Bluetooth Speaker,Computing,152.7,1,152.7,2024-05-16 11:43:00,South America,debit_card
TXN_000021,CUST_4611,PROD_199,Tablet,Electronics,309.81,3,929.4300000000001,2024-12-09 19:33:00,South America,google_pay
TXN_000022,CUST_8359,PROD_137,Tablet,Mobile,78.35,2,156.7,2024-03-16 08:15:00,South America,google_pay
TXN_000023,CUST_5557,PROD_323,Gaming Mouse,Mobile,153.15,4,612.6,2024-08-12 17:00:00,Asia,debit_card
TXN_000024,CUST_1106,PROD_863,Smart Watch,Audio,189.52,1,189.52,2024-05-18 14:00:00,Europe,google_pay
TXN_000025,CUST_3615,PROD_292,Smart Watch,Electronics,233.47,4,933.88,2024-05-29 01:30:00,North America,credit_card
TXN_000026,CUST_7924,PROD_530,Bluetooth Speaker,Electronics,394.74,2,789.48,2024-11-17 18:12:00,North America,credit_card
TXN_000027,CUST_6574,PROD_813,Wireless Headphones,Audio,107.84,3,323.52,2024-07-18 11:04:00,North America,paypal
TXN_000028,CUST_5552,PROD_659,Bluetooth Speaker,Audio,261.97,2,523.94,2024-09-17 14:23:00,South America,google_pay
TXN_000029,CUST_3547,PROD_892,Laptop,Computing,300.28,3,900.8399999999999,2024-07-20 18:11:00,Europe,debit_card
TXN_000030,CUST_4527,PROD_270,Gaming Mouse,Computing,32.76,3,98.28,2024-08-09 22:57:00,North America,paypal
TXN_000031,CUST_6514,PROD_715,Wireless Headphones,Mobile,307.7,3,923.0999999999999,2024-10-28 04:48:00,North America,credit_card
TXN_000032,CUST_2674,PROD_486,Tablet,Accessories,93.56,4,374.24,2024-01-26 07:42:00,North America,debit_card
TXN_000033,CUST_2519,PROD_321,Wireless Headphones,Accessories,41.88,2,83.76,2024-03-22 15:13:00,North America,credit_card
TXN_000034,CUST_7224,PROD_456,Tablet,Computing,474.95,4,1899.8,2024-06-24 15:07:00,Africa,credit_card
TXN_000035,CUST_2584,PROD_314,Phone Case,Accessories,483.16,2,966.32,2024-03-13 11:24:00,North America,google_pay
TXN_000036,CUST_6881,PROD_295,Keyboard,Computing,406.11,1,406.11,2024-09-04 05:04:00,North America,google_pay
TXN_000037,CUST_6635,PROD_795,Gaming Mouse,Mobile,159.26,1,159.26,2024-03-20 07:00:00,Asia,paypal
TXN_000038,CUST_5333,PROD_690,Gaming Mouse,Audio,57.86,2,115.72,2024-01-14 17:49:00,South America,apple_pay
TXN_000039,CUST_1711,PROD_114,Gaming Mouse,Mobile,345.27,2,690.54,2024-06-23 14:42:00,North America,debit_card
TXN_000040,CUST_8527,PROD_479,Wireless Headphones,Mobile,225.67,2,451.34,2024-09-16 18:22:00,North America,debit_card
TXN_000041,CUST_9785,PROD_933,Smart Watch,Computing,69.8,2,139.6,2024-10-27 03:23:00,Asia,credit_card
TXN_000042,CUST_3045,PROD_472,Smart Watch,Electronics,252.64,3,757.92,2024-04-29 04:45:00,Europe,credit_card
TXN_000043,CUST_7201,PROD_116,Laptop,Computing,26.85,4,107.4,2024-06-05 05:21:00,North America,apple_pay
TXN_000044,CUST_2291,PROD_409,Gaming Mouse,Computing,455.57,3,1366.71,2024-07-17 12:01:00,Asia,apple_pay
TXN_000045,CUST_5803,PROD_414,Wireless Headphones,Electronics,136.8,4,547.2,2024-01-04 18:34:00,Africa,paypal
TXN_000046,CUST_6925,PROD_614,Wireless Headphones,Computing,334.64,4,1338.56,2024-01-01 10:58:00,Asia,paypal
TXN_000047,CUST_4150,PROD_938,Phone Case,Audio,162.74,4,650.96,2024-09-08 17:13:00,South America,apple_pay
TXN_000048,CUST_2139,PROD_988,Wireless Headphones,Audio,264.83,3,794.49,2024-07-27 20:38:00,South America,debit_card
TXN_000049,CUST_1750,PROD_227,Phone Case,Mobile,277.89,2,555.78,2024-01-24 22:13:00,Africa,apple_pay
TXN_000050,CUST_4733,PROD_816,Tablet,Accessories,100.58,3,301.74,2024-01-16 06:57:00,South America,debit_card
TXN_000051,CUST_5741,PROD_611,Gaming Mouse,Audio,485.1,3,1455.3000000000002,2024-05-17 02:52:00,Asia,credit_card
TXN_000052,CUST_2307,PROD_764,Gaming Mouse,Computing,389.82,4,1559.28,2024-05-05 20:25:00,North America,credit_card
TXN_000053,CUST_4814,PROD_566,Smart Watch,Computing,470.35,1,470.35,2024-06-22 20:12:00,North America,paypal
TXN_000054,CUST_2654,PROD_523,Wireless Headphones,Electronics,448.47,1,448.47,2024-03-05 18:32:00,Europe,debit_card
TXN_000055,CUST_7227,PROD_520,Gaming Mouse,Accessories,302.97,3,908.9100000000001,2024-06-14 13:46:00,Africa,debit_card
TXN_000056,CUST_5554,PROD_460,Laptop,Computing,461.72,4,1846.88,2024-10-01 08:39:00,Africa,paypal
TXN_000057,CUST_8428,PROD_460,Keyboard,Accessories,53.36,3,160.07999999999998,2024-12-13 19:54:00,Asia,google_pay
TXN_000058,CUST_6977,PROD_948,Smart Watch,Mobile,106.03,3,318.09000000000003,2024-08-15 23:51:00,Europe,credit_card
TXN_000059,CUST_3664,PROD_655,Tablet,Audio,32.16,2,64.32,2024-08-13 00:47:00,South America,credit_card
TXN_000060,CUST_7065,PROD_536,Phone Case,Electronics,169.41,4,677.64,2024-09-12 01:27:00,Europe,paypal
TXN_000061,CUST_6820,PROD_635,Smart Watch,Audio,200.45,1,200.45,2024-01-23 00:31:00,Europe,apple_pay
TXN_000062,CUST_4432,PROD_883,Laptop,Mobile,142.96,1,142.96,2024-05-19 12:06:00,South America,paypal
TXN_000063,CUST_5374,PROD_443,Phone Case,Mobile,416.08,1,416.08,2024-05-22 07:15:00,Africa,credit_card
TXN_000064,CUST_2169,PROD_216,Bluetooth Speaker,Accessories,184.81,3,554.4300000000001,2024-08-15 01:03:00,Europe,apple_pay
TXN_000065,CUST_3803,PROD_280,Tablet,Computing,147.66,4,590.64,2024-05-22 23:37:00,Africa,paypal
TXN_000066,CUST_9751,PROD_569,Tablet,Audio,275.92,2,551.84,2024-02-10 23:55:00,Europe,paypal
TXN_000067,CUST_5010,PROD_538,Wireless Headphones,Electronics,79.05,1,79.05,2024-12-04 15:19:00,Africa,apple_pay
TXN_000068,CUST_3677,PROD_482,Gaming Mouse,Computing,403.08,4,1612.32,2024-05-25 06:24:00,North America,google_pay
TXN_000069,CUST_8573,PROD_281,Laptop,Electronics,46.53,1,46.53,2024-10-13 14:05:00,Europe,paypal
TXN_000070,CUST_7216,PROD_666,Gaming Mouse,Accessories,493.57,2,987.14,2024-12-04 23:40:00,Asia,credit_card
TXN_000071,CUST_5422,PROD_709,Smart Watch,Computing,388.4,4,1553.6,2024-07-14 07:32:00,Europe,paypal
TXN_000072,CUST_4598,PROD_266,Keyboard,Electronics,107.37,3,322.11,2024-12-25 14:27:00,Europe,apple_pay
TXN_000073,CUST_6313,PROD_655,Keyboard,Accessories,12.71,3,38.13,2024-04-05 02:58:00,Asia,apple_pay
TXN_000074,CUST_1916,PROD_546,Gaming Mouse,Mobile,409.58,1,409.58,2024-07-02 15:45:00,Asia,debit_card
TXN_000075,CUST_4752,PROD_490,Laptop,Computing,356.36,1,356.36,2024-09-07 09:53:00,Africa,paypal
TXN_000076,CUST_1525,PROD_391,Phone Case,Audio,367.21,4,1468.84,2024-01-04 23:20:00,Africa,google_pay
TXN_000077,CUST_6168,PROD_965,Bluetooth Speaker,Audio,387.92,2,775.84,2024-05-10 11:53:00,Africa,debit_card
TXN_000078,CUST_7572,PROD_775,Bluetooth Speaker,Accessories,46.28,1,46.28,2024-09-13 13:27:00,North America,google_pay
TXN_000079,CUST_5386,PROD_805,Wireless Headphones,Audio,185.65,4,742.6,2024-03-03 16:09:00,South America,debit_card
TXN_000080,CUST_2084,PROD_796,Smart Watch,Computing,66.78,2,133.56,2024-05-28 17:46:00,South America,google_pay
TXN_000081,CUST_4456,PROD_547,Phone Case,Mobile,432.92,1,432.92,2024-09-12 09:04:00,Africa,apple_pay
TXN_000082,CUST_6155,PROD_749,Bluetooth Speaker,Electronics,315.42,1,315.42,2024-05-20 05:31:00,South America,debit_card
TXN_000083,CUST_4483,PROD_390,Wireless Headphones,Audio,172.14,4,688.56,2024-09-16 11:56:00,Asia,paypal
TXN_000084,CUST_9179,PROD_818,Keyboard,Accessories,41.14,1,41.14,2024-04-29 20:04:00,South America,apple_pay
TXN_000085,CUST_7482,PROD_735,Phone Case,Mobile,162.38,3,487.14,2024-05-08 03:46:00,South America,apple_pay
TXN_000086,CUST_8517,PROD_977,Tablet,Computing,169.34,2,338.68,2024-11-05 16:32:00,South America,paypal
TXN_000087,CUST_3340,PROD_201,Bluetooth Speaker,Mobile,367.51,2,735.02,2024-08-28 05:26:00,Asia,credit_card
TXN_000088,CUST_5339,PROD_189,Phone Case,Accessories,322.4,3,967.1999999999999,2024-04-16 22:16:00,Asia,apple_pay
TXN_000089,CUST_3287,PROD_925,Keyboard,Audio,444.73,4,1778.92,2024-12-17 18:11:00,Europe,credit_card
TXN_000090,CUST_5040,PROD_957,Laptop,Mobile,241.39,3,724.17,2024-02-12 20:10:00,Africa,apple_pay
TXN_000091,CUST_9830,PROD_206,Gaming Mouse,Electronics,68.6,3,205.79999999999998,2024-03-10 06:45:00,Asia,paypal
TXN_000092,CUST_5304,PROD_191,Wireless Headphones,Audio,359.49,2,718.98,2024-04-22 18:55:00,Africa,apple_pay
TXN_000093,CUST_8019,PROD_765,Phone Case,Accessories,382.78,4,1531.12,2024-10-26 16:57:00,Europe,apple_pay
TXN_000094,CUST_7543,PROD_116,Phone Case,Computing,285.03,1,285.03,2024-03-22 03:20:00,Africa,paypal
TXN_000095,CUST_6930,PROD_731,Tablet,Mobile,387.77,3,1163.31,2024-10-15 00:00:00,Africa,apple_pay
TXN_000096,CUST_4593,PROD_521,Smart Watch,Computing,251.96,3,755.88,2024-08-24 22:52:00,North America,apple_pay
TXN_000097,CUST_3266,PROD_206,Wireless Headphones,Accessories,266.14,4,1064.56,2024-03-03 06:55:00,Asia,paypal
TXN_000098,CUST_9348,PROD_608,Smart Watch,Electronics,219.5,3,658.5,2024-03-11 21:44:00,South America,credit_card
TXN_000099,CUST_9085,PROD_867,Tablet,Electronics,22.46,4,89.84,2024-01-04 09:45:00,Europe,apple_pay
TXN_000100,CUST_2489,PROD_869,Keyboard,Electronics,62.87,1,62.87,2024-05-19 16:16:00,North America,debit_card
TXN_000101,CUST_1771,PROD_738,Wireless Headphones,Electronics,25.4,4,101.6,2024-06-28 13:29:00,Europe,debit_card
TXN_000102,CUST_2796,PROD_657,Wireless Headphones,Accessories,321.84,1,321.84,2024-09-04 02:23:00,Asia,apple_pay
TXN_000103,CUST_3504,PROD_202,Tablet,Audio,164.03,4,656.12,2024-12-07 08:07:00,Asia,paypal
